,Title,Years,CAGR,Min. Amount,Risk,Free?,Description,Links,Manager
146,Value & Momentum Smallcase (AUM based Fee),1,5.27,22204,Med. Volatility,False,25% CAGR over 3 years || upto 15 stocks (allcap) || suitable for 50k to 10L investment,/smallcase/value-and-momentum-picks-(aum-based-fee)-KUSMO_0003, Kushank Poddar
147,Alpha Core & Satellite,1,31.77,250000,Med. Volatility,False,A selection of competitive stocks that aim to give you superior risk adjusted returns.,/smallcase/alpha-core-and-satellite-RENMO_0001, Alpha Portfolios
148,Bluechip Citius - Aggressive ,1,18.18,6005,Low Volatility,False,Aggressive BLUE-CHIP Concentrated HIGH-RISK basket to out-perform NIFTY Index. Rec Size 2+ lacs,/smallcase/bluechip-citius-QUREMO_0003, Quantace Reseach
149,TOP 10 VALUE ,1,13.43,19010,High Volatility,False,TOP 10 Fundamental Picks which are at Decent Valuations and Good Future Potential. ,/smallcase/top-10-value-NOMMO_0002, Nooresh Merani
150,OPEN INTEREST- Growth Momentum,2,26.6,555,Low Volatility,False,Multi-cap portfolio for medium to long term investing. Stocks are held for 6 months to many years. ,/smallcase/open-interest-growth-momentum-SANMO_0001, Sana Securities
151,Conservative - Multi Factor Tactical [AUM Based],3,16.75,64135,Low Volatility,False,"Stable out-performance in all markets, for the low risk investor.  Rec Amt: 2-20 lac",/smallcase/conservative-multi-factor-tactical-WRTMO_0005, Wright Research
152,Long-Term Compounders,1,-1.86,103754,Med. Volatility,False,"A portfolio of 14-16 great cos. from different sectors with the potential to make huge wealth. 
",/smallcase/long-term-compounders-FIGMO_0001, Focus Investing
153,Bluechip Altius - Balanced,1,16.72,35033,Low Volatility,False,Quant BLUE-CHIP Stocks picked by Quantace to MAXIMIZE Return per Risk.  Rec Size : 5+ lac,/smallcase/bluechip-altius-QUREMO_0001, Quantace Reseach
154,PVR Wealth Growers 1,1,3.41,45400,Low Volatility,False,A Collection of Businesses possessing deep competitive moats. ,/smallcase/pvr-wealth-growers-1-PVRAMO_0004, PVR Advisory
155,TQ Ninja (1.0),1,34.55,45269,High Volatility,False,Non-Discretionary strategy to identify high momentum stocks from Nifty500 universe,/smallcase/tq_ninja-TUQAMO_0001, TurtleQuants
156,Quiver,1,20.19,500000,High Volatility,False,"Quiver is a collection of stocks, usually between 5-10, which are actively managed.",/smallcase/quiver-INSMO_0005, Intelsense
157,smartvalues - weighted,1,4.16,54000,High Volatility,False,A mix of Nifty 50 stocks weighted proportionate to their momentum profile,/smallcase/smartvalues-weighted-LMRMO_0002, Lamron Analysts
158,Marvel,2,34.36,69528,Med. Volatility,False,Marvel is all about selecting a long term compounders through detailed Research from the BSE500 to generate Alpha.,/smallcase/marvel-JNMMO_0001, Jainam
159,Momentum with safety,2,34.2,123385,Med. Volatility,False,The portfolio uses our inhouse  AI algorithm to generate high returns at lower risk.,/smallcase/momentum-with-safety-PRUMO_0001, Prudent Cap
160,Proinvest Nirmiti SIP,2,27.73,46421,Med. Volatility,False,"Invest in companies having enduring competitive advantage, strong cash flows & asset light business",/smallcase/proinvest-nirmiti-sip-PROMO_0001, Proinvest Nirmiti
161,SUN,1,27.89,42607,Low Volatility,False,"Core portfolio comprising of high quality, very large cap, large cap & emerging large cap companies.",/smallcase/sun-LAMMO_0001, LaMoksh
162,Small Cap Growth Strategy,2,51.81,500000,High Volatility,False,This Strategy has quality small cap stocks based on proprietary predictive analytics model.,/smallcase/smallcap-growth-strategy-VLSMO_0028, Value Stocks
163,Wealth Protector,1,8.77,180909,Low Volatility,False,"Curated portfolio for age 50+yrs, Invstmt horizon <2yrs. Low Risk & Medium Return.",/smallcase/wealth-protector-MRGMO_0003, MRG Capital
164,FtM - Value India,1,18.93,4735,Med. Volatility,False,Harness the power of AI to buy good companies that are temporarily undervalued,/smallcase/value-investing-BWEMO_0004, InvestorAi
165,The Prodigals,2,23.88,61029,Med. Volatility,False,A portfolio of small and midcap stocks who will  be the future leaders.,/smallcase/the-prodigals-CRWMO_0007, Creating Wealth
166,Index Advantage | Momentum Investing,1,30.76,104441,Low Volatility,False,Invest in stocks of the Nifty 500 which are in momentum with decent margin of safety | Rec Amt < 10L,/smallcase/craving-alpha-index-advantage-v2-(nifty-500)-CRALMO_0005, Craving Alpha
167,myMoneySage Premier Equity,1,12.4,300000,Med. Volatility,False,"The strategy is using a blend of value, growth & momentum to generate superior risk adjusted returns",/smallcase/mymoneysage-premier-equity-MMSMO_0002, myMoneySage
168,Moon,1,6.68,21558,Low Volatility,False,Portfolio of around 25 stocks drawn from largely from mid and small cap universe.,/smallcase/moon-LAMMO_0003, LaMoksh
169,XC Quant: Momentum,2,48.61,136719,Low Volatility,False,Momentum Portfolio of low-float stocks with clear upward trend,/smallcase/xc-momentum-XUMMO_0002, Xumit Capital
170,Promising Bluechips,2,36.29,75884,Med. Volatility,False,Companies having good fundamentals for long term investing.,/smallcase/promising-bluechips-MGOMO_0002, Marketgoogly
171,Value Investing Smallcase,1,24.28,700000,High Volatility,False,"The smallcase is focused on Value with Growth at a reasonable price, turnarounds, special situations",/smallcase/value-investing-portfolio-AURMO_0002, Aurum Capital
172,V.E.C Growth Explorer,1,29.52,50000,Med. Volatility,False,Capturing potential upside in companies seeing accelerating growth over medium to long term,/smallcase/v.e.c-growth-explorer-VECMO_0002, VEC Investments
173,ViniyogIndia 🚀 Momentum,1,35.93,125819,High Volatility,False,Momentum investing strategy. Suitable for aggressive investors,/smallcase/viniyogindia-momentum+-VIYIMO_0001, ViniyogIndia
174,Shariah - Large Cap ,1,14.44,199659,Med. Volatility,False,17 Large Cap shariah-compliant stocks from 14 segments approved by contemporary Shariah scholars.,/smallcase/shariah-large-cap-SNGMO_0005, SenSage
175,10X Aimers,1,6.54,50000,Med. Volatility,False,10X Aimers is a well-balanced and diversified portfolio of high-quality growth stocks,/smallcase/10x-aimers-HIAGMO_0001, Himank Agrawal
176,East Green Capital - Trend Following,2,44.95,249971,Med. Volatility,False,"We buy trending companies/sectors having growing businesses, using defined risk position sizes",/smallcase/egc-trend-following-EGCMO_0001, East Green Capital
177,The Crown Jewels,2,24.43,520093,Low Volatility,False,India Inc's crème de la crème businesses on a platter,/smallcase/the-crown-jewels-EHANM_0005, Ethical Advisers
178,India Healthcare Momentum,2,32.14,58319,Med. Volatility,False,Top 10 Indian Healthcare stocks ranked based on momentum and rebalanced monthly.,/smallcase/india-healthcare-momentum-FBCTR_0001, Flameback Capital
179,Earth,1,1.36,49247,Low Volatility,False,Portfolio of stocks with great potential for returns over a long period of time. Flexi cap strategy.,/smallcase/earth-LAMMO_0002, LaMoksh
180,Wealth Enhancer,1,7.67,72070,Low Volatility,False,"Curated portfolio for age profile 35-50Yrs,invstmt horizon min 4-6yrs. Medium Risk & Med-High Return",/smallcase/wealth-enhancer-MRGMO_0002, MRG Capital
181,Flameback Multi-Cap Momentum Factor,3,33.64,514839,Med. Volatility,False,Top 50 stocks that score high on momentum factor out of the universe of top 500 stocks.,/smallcase/flameback-multi-cap-momentum-factor-FBCMO_0004, Flameback Capital
182,Cherrypicked PSU Financials ,1,5.3,23829,High Volatility,False,"An ideal mix of public sector banks, insurance and Finserv companies, offering deep value.    ",/smallcase/cherrypicked-psu-financials-EHANM_0009, Ethical Advisers
183,Pharma & HealthCare Basket,2,16.67,56625,Med. Volatility,False,"A basket of Pharma Generics, APIs, Biologics, Hospital services and Diagnostic lab Companies.
",/smallcase/pharma-basket-CRWNM_0001, Creating Wealth
184,The Dark Horse Pack,1,16.39,40993,Low Volatility,False,"Out of favour stocks with the potential to rebound
",/smallcase/the-dark-horse-pack-EHANM_0006, Ethical Advisers
185,Frog,2,11.36,125757,High Volatility,False,"ALGO FROG follows CAN SLIM, an investment strategy by William O'Neil.",/smallcase/frog-ALGMO_0001, Algosmith
186,WCFA Long Term Equity Portfolio,1,9.37,28543,Med. Volatility,False,A blend of Value and Growth stocks aiming capital appreciation over a long period of time. ,/smallcase/wcfa-long-term-equity-portfolio-WECMO_0001, Wealth Creators
187,Shariah - Chemical & Agri ,1,31.31,311893,Low Volatility,False,11 Chemicals & Agri  liquid and investible good shariah-compliant stocks for observant Muslims.,/smallcase/shariah-chemical-and-agri-SNGTR_0001, SenSage
188,Quantamental - Q10,1,17.07,90952,Med. Volatility,False,Quantitative Absolute Momentum. All Cap subject to high liquidity filter.  Rebalanced weekly. ,/smallcase/q10-INSMO_0004, Intelsense
189,ViniyogIndia 🏃‍♀️ Multifactor,1,23.98,95353,Low Volatility,False,"Multifactor, multi-asset portfolio for aggressive investors",/smallcase/aggressive-multifactor-core-VIYIMO_0004, ViniyogIndia
190,Sector Advantage,2,40.35,184525,High Volatility,False,Invest in undervalued companies across major growth sectors of the India Story,/smallcase/craving-alpha-sector-advantage-CRALMO_0002, Craving Alpha
191,21G Balanced Fund⚖️,1,3.79,1748,Low Volatility,False,"Invest it Right - Hedge it Right! Low risk portfolio with equity, gold and silver ETF's.",/smallcase/21g-balanced-etf-fund-TGIMO_0006, 21G Investments
192,Value & Momentum Smallcase (Flat Fee),1,5.33,22204,Med. Volatility,False,25% CAGR over 3 years || upto 15 stocks (allcap) || suitable for 10L+ investment,/smallcase/value-and-momentum-picks-(flat-fee)-KUSMO_0004, Kushank Poddar
193,The Wisdom Portfolio ,2,15.0,145862,Med. Volatility,False,Equal weighted portfolio in which we make wise stock picks by following a sector rotation strategy. ,/smallcase/the-wisdom-portfolio-SOLMO_0001, SolomonInvestments 
194,HITPICKS,1,1.95,31825,Med. Volatility,False,The focus is on identifying short-to-medium term trends in stocks using Technofunda concepts.,/smallcase/hitpicks-INSMO_0006, Intelsense
195,ActiveQuant Large & Mid Cap,1,8.65,51914,Low Volatility,False,A Large & Mid Cap portfolio aiming for  outperformance by selecting stocks with very high QPS scores,/smallcase/active-quant-large-and-mid-BRMOMO_0009, BridgeMonte
196,Opportune Blue Chip Equity ,1,17.21,97390,Med. Volatility,False,"Invest in high governance, quality businesses for your long term goals ",/smallcase/opportune-blue-chip-equity-OPPMO_0002, Opportune Wealth
197,Balanced,3,14.58,169028,Med. Volatility,False,An actively managed portfolio that invests in large and medium size growth oriented companies.,/smallcase/balanced-QOVMO_0003, Qovar Advisors
198,Cubit,1,-0.32,1000000,Low Volatility,False,Growth Investing | Quantamental Diversified-equity | Multi-cap Universe | Monthly Review,/smallcase/sapien-cubit-MODMO_0003, Modulor Capital
199,Formidable Dozen Plus (FD+) ,2,20.17,250000,Med. Volatility,False,Generate higher than Fixed Income returns by investing in a portfolio of select 12 mega-cap stocks,/smallcase/formidable-dozen-plus-(fd+)-by-piper-serica-PSRNM_0001, Piper Serica
200,MWG Smart Alpha (Fixed),2,22.71,146976,Med. Volatility,False,Identifying Wealth Creators to generate Alpha. Multi-factor Quantitative strategy (Rec Size 5-10L),/smallcase/quant-alpha-fixed-MWGMO_0002, My Wealth Guide
201,Financial Services Powerpack,2,35.08,109481,High Volatility,False,"Financials have corrected to a great extent in the recent meltdown, providing an excellent entry ",/smallcase/financial-services-powerpack-EHAMO_0001, Ethical Advisers
202,Palm,1,6.85,1000000,Med. Volatility,False,Value Investing | Quantamental Diversified-equity | Multi-cap Universe | Monthly Review,/smallcase/sapien-palm-MODMO_0004, Modulor Capital
203,Steady,3,15.02,162438,Med. Volatility,False,"A portfolio that invests in large, growth oriented companies with strong fundamentals. Maintains relatively low portfolio risk.  ",/smallcase/steady-QOVMO_0002, Qovar Advisors
204,Aggressive,3,16.85,108657,Med. Volatility,False,A portfolio that invests in high-growth companies with sound fundamentals.,/smallcase/aggressive-QOVMO_0004, Qovar Advisors
205,Flameback Large Cap Momentum Factor ,3,14.54,131100,Med. Volatility,False,Top 15 stocks that score high on momentum factor out of a universe of top 100 stocks by market cap.,/smallcase/flameback-large-cap-momentum-factor-FBCMO_0003, Flameback Capital
206,TrendlineZ Balanced,3,19.8,157144,Low Volatility,False,A conservative strategy with dynamic asset allocation between equity and debt.,/smallcase/trendlinez-balanced-TRLMO_0003, Trendlinez
207,Mystic Wealth Value (MWV),3,27.97,32323,Low Volatility,False,MWV is the Value based Model portfolio sniffing inefficiencies in SpinOffs.,/smallcase/mystic-wealth-value-(mwv)-MWNM_0003, Mystic Wealth
208,Tamohara Long Term Equity Strategy ,3,22.95,1000000,Med. Volatility,False,Generating alpha by identifying pool of small and mid size companies. ,/smallcase/tamohara-long-term-equity-strategy-TMHMO_0002, Tamohara
209,ESG Core Portfolio,3,14.07,167279,Med. Volatility,False,"Safeguarding environmental, social and governance concerns along with share holder value creation",/smallcase/esg-core-portfolio-LTDNM_0001, Lotusdew Wealth
210,TrendlineZ Value,2,20.99,78889,Low Volatility,False,A strategy which aims to invest in fundamentally strong companies at discounted prices.				,/smallcase/trendlinez-value-TRLMO_0004, Trendlinez
211,Tamohara India Opportunities Strategy,2,18.5,1000000,Med. Volatility,False,MULTICAP STRATEGY,/smallcase/tamohara-india-opportunities-strategy-TMHMO_0003, Tamohara
212,Sapient Wisdom Allcap Tamohara Strategy ,2,14.98,1000000,Med. Volatility,False,"Sapient Wisdom Allcap Tamohara (SWAT) Strategy is a long only, benchmark agnostic strategy",/smallcase/sapient-wisdom-allcap-tamohara-strategy-SPTMO_0001, Sapient-Tamohara
213,Gulaq Gear 3,2,20.86,80000,Low Volatility,False,"Growth oriented portfolio suited for Conservative to Moderate investors (40% Equity, 60% Debt ETF)",/smallcase/estee-long-alpha-lite-(gear-2)-ESTMO_0003, Estee
214,The Dependables!,2,34.11,214881,Med. Volatility,False,"Great businesses whose share prices have corrected significantly, and offer value for medium to long term investors.",/smallcase/the-dependables!-EHANM_0002, Ethical Advisers
215,Auto Pack: Stepping Up the Gear ,2,35.92,114549,Low Volatility,False,A well researched portfolio of auto sector companies that stand to gain from demand recovery ,/smallcase/auto-pack:-stepping-up-the-gear-EHAMO_0002, Ethical Advisers
216,Tamohara NxT Multicap Strategy (NxT),2,23.66,1000000,Med. Volatility,False,"Tamohara
NxT Multicap Strategy (TNMS) focuses on investing in 15 20 high quality businesses",/smallcase/tamohara-nxt-multicap-strategy-(nxt)-TNXMO_0001, TAMOHARANXT
217,Tamohara SIP Portfolio,2,24.8,47372,Med. Volatility,False,SIP Portfolio,/smallcase/tamohara-sip-portfolio-SPTMO_0005, Sapient-Tamohara
218,Tamohara SIP Portfolio,2,24.76,47372,Med. Volatility,False,SIP Portfolio,/smallcase/tamohara-sip-portfolio-TNXMO_0002, TAMOHARANXT
219,AskTheWiseGuy Passive Fund,2,15.06,15934,Low Volatility,False,Dynamic Asset Allocation in ETFs,/smallcase/askthewiseguy-passive-fund-TRLET_0002, Trendlinez
220,Elephant,2,31.4,191713,Med. Volatility,False,Designed to uncover stock ideas based on the winning investment strategies of stock market legends,/smallcase/elephant-ALGMO_0002, Algosmith
221,Turtle Value,2,28.48,194278,Med. Volatility,False,Turtle Value is low volatility portfolio of value stocks selected based on our proprietary metrics.,/smallcase/turtle-value-ALGMO_0004, Algosmith
222,Turtle Growth,2,19.44,112448,Low Volatility,False,Turtle Growth is low volatility portfolio of growth stocks selected based on our proprietary metrics,/smallcase/turtle-growth-ALGMO_0005, Algosmith
223,Proinvest Nirmiti,2,25.85,500000,Med. Volatility,False,"Invest in companies having enduring competitive advantage, strong cash flows & asset light business",/smallcase/proinvest-nirmiti-PROMO_0002, Proinvest Nirmiti
224,FinEdge360 Handpick Stocks,2,20.69,91543,Med. Volatility,False,Consist of top 14 fundamental strong stocks for budget-friendly investment strategy.,/smallcase/finedge360-handpick-stocks-FEGMO_0002, FinEdge360
225,MWG Smart Alpha,2,21.52,500000,Med. Volatility,False,Identifying Wealth Creators to generate Alpha. Multi-factor Quantitative strategy.,/smallcase/quant-multicap-MWGMO_0001, My Wealth Guide
226,Crown Jewels: AH,2,27.08,172759,Med. Volatility,False,.,/smallcase/crown-jewels:-ah-EHANM_0004, Ethical Advisers
227,TBNG Wealth Balanced,2,14.62,500000,Low Volatility,False,This is a multi-asset ETF portfolio to generate long term wealth with limited downside.,/smallcase/tbng-wealth-balanced-TMET_0005, TBNG Capital Advisors
228,TBNG Wealth Maximizer,2,16.33,100000,Low Volatility,False,This is a multi-asset ETF portfolio with geographic diversification.,/smallcase/tbng-wealth-maximizer-TMET_0006, TBNG Capital Advisors
229,Momentum with safety V2,2,37.6,73381,Med. Volatility,False,The portfolio is designed to select stocks with high momentum at relatively lesser risk. ,/smallcase/momentum-with-safety-v2-PRUMO_0002, Prudent Cap
230,Zen Multicap Select,2,21.33,34275,Low Volatility,False,Up to 10 Select Multi-Cap Stocks having upside Momentum ,/smallcase/multicap-momentum-10-SWERMO_0005, Zen Capital Equity Research
231,myMoneySage SMART,2,11.76,145232,Med. Volatility,False,This model portfolio is best suited to generate superior risk adjusted returns for DIY investors ,/smallcase/mymoneysage-smart-MMSMO_0001, MyMoneySage
232,Better than FD,1,7.65,3506,Low Volatility,False,"Collection of few ETF's across different asset classes like Equity, Gold & Debt.",/smallcase/better-than-fd-PVRAET_0001, PVR Advisory
233,Selected Seven Growth Stocks,1,18.0,9440,Med. Volatility,False,This smallcase is started with selected seven stocks that were accumulated at lower price,/smallcase/growth-stocks-case-1-SUSHMO_0001, SUMAN SHANDIL
234,Large Cap Growth Strategy,2,14.47,500000,Med. Volatility,False,This Strategy has quality Large Cap stocks based on our proprietary predictive analytics model.,/smallcase/largecap-growth-strategy-VLSMO_0026, Value Stocks
235,Mid Cap Growth Strategy,2,34.97,500000,Med. Volatility,False,This Strategy has quality mid cap stocks based on proprietary predictive analytics model.,/smallcase/midcap-growth-strategy-VLSMO_0027, Value Stocks
236,FinEdge360 All Weather ,1,2.69,38649,Med. Volatility,False,Fundamentally strong companies with asset allocation for a moderate investor.,/smallcase/finedge360-all-weather-FEGMO_0003, FinEdge360
237,AarnA Growth,1,18.92,32786,Med. Volatility,False,"AarnA Growth is Aarna’s model stock portfolio, comprising of fundamentally strong stocks in uptrend.",/smallcase/aarna-growth-AAWEMO_0002, Aarna Wealth
238,Omni Belief Compliant Strategy (BCS-I),1,11.26,100000,Med. Volatility,False,A SuperNormal Portfolio of Belief Compliant and Socially Responsible investing strategy,/smallcase/omni-values-based-strategy-i-(vbs-i)-OMNNM_0005, Omniscience Capital
239,NIFTY DIAMONDS,1,7.75,29403,Med. Volatility,False,Collection of a few companies in NIFTY50 Index & Tactical Allocation to GOLD.,/smallcase/nifty-diamonds-PVRAMO_0001, PVR Advisory
240,Fundastick,1,1.91,29738,Med. Volatility,False,Fundamentally strong companies having sustainable business models and/or competitive moats. ,/smallcase/fundastick-FUSTMO_0001, Fundastick
241,ViniyogIndia ⚖ Balanced,1,31.68,121110,Low Volatility,False,"Multifactor, multi-asset core portfolio for moderate investors",/smallcase/dynamic-multifactor-core-VIYIMO_0002, ViniyogIndia
242,ViniyogIndia ☔ All Weather,1,27.39,126665,Low Volatility,False,"Multifactor, multi-asset portfolio for conservative investors",/smallcase/balanced-multifactor-core-VIYIMO_0003, ViniyogIndia
243,PEARL - Largecap Growth Strategy ,1,17.76,250000,Med. Volatility,False,"Top 100 cos | Hi ROE, ROA, Growth, Low Debt, Mkt Share | Prime Equities ~ Algo Research ~ Largecaps",/smallcase/jamawealth.com-pearl:-largecap-compounder-strategy-SGTPMO_0001, JamaWealth.com
244,CJ: RP,1,16.19,175956,Med. Volatility,False,.,/smallcase/cj:-rp-EHANM_0007, Ethical Advisers
245,MWG Compounder,1,16.5,2500000,Low Volatility,False,Long-Term Strategy to Identifying Wealth Compounders. Multi-factor Quantitative strategy.,/smallcase/mwg-balanced-MWGMO_0003, My Wealth Guide
246,Omni Super Assets - Multi-Asset Portfolio,1,15.28,500000,Low Volatility,False,All-Asset Portfolio for All-Season Investing,/smallcase/omni-superassets-multi-assets-portfolio-OMNMO_0007, Omniscience Capital
247,Long term Wealth Creation,1,22.19,64892,Low Volatility,False,"Stocks picked with a long term view, compounders",/smallcase/long-term-wealth-creation-PLIAMO_0001, Plutus Investment Advisors
248,Momentum Trending,1,15.3,28111,Low Volatility,False,"We select stocks based on share price momentum, volume and cross check it with fundamentals",/smallcase/momentum-trending-PLIAMO_0002, Plutus Investment Advisors
249,CJ:DK,1,17.51,176053,Med. Volatility,False,.,/smallcase/cj:dk-EHANM_0008, Ethical Advisers
250,SenSage i25,1,7.01,500000,Med. Volatility,False,"25 Large Cap shariah-compliant stocks picked by Shabbir for HNIs and Trusts, Waqfs and NGOs.",/smallcase/sensage-i25-SNGMO_0006, SenSage
251,Shariah ESG ,1,11.57,200000,Med. Volatility,False,11 Large Cap ESG Sector Leaders shariah-compliant stocks,/smallcase/shariah-esg-SNGNM_0002, SenSage
252,Zen Multicap Focused,1,17.64,120000,Low Volatility,False,Up to 25 Multi-Cap Stocks with upside Momentum ,/smallcase/mm25-(multicap-25)-SWERMO_0006, Zen Capital Equity Research
253,Zen Multicap Diversified,1,19.84,150000,Low Volatility,False,Up to 50 Stocks Multi-Cap list with upside Momentum ,/smallcase/mm50-(multicap-50)-SWERMO_0007, Zen Capital Equity Research
254,Opportune Emerging Opportunities,1,16.56,147108,Med. Volatility,False,Small steps to big returns!,/smallcase/opportune-emerging-opportunities-OPPMO_0001, Opportune Wealth
255,ActiveQuant Large Cap,1,22.7,46943,Low Volatility,False,A LargeCap portfolio aiming for market outperformance by selecting stocks with very high QPS scores,/smallcase/active-quant-l-BRMOMO_0008, BridgeMonte
256,ActiveQuant Mid & Small Cap,1,21.69,44922,Low Volatility,False,A Mid & Small Cap portfolio aiming for outperformance by selecting stocks with very high QPS scores,/smallcase/active-quant-mid-and-small-BRMOMO_0010, BridgeMonte
257,XC Quant: Dividends,1,11.81,19430,Med. Volatility,False,Basket of Stocks that have high dividend and sustainable yields,/smallcase/xc-high-dividend-yield-XUMNM_0002, Xumit Capital
258,SR200,1,15.55,69477,High Volatility,False,Momentum Investing with Nifty 200 stock,/smallcase/ls200-LOSEMO_0001, Lokesh Sethia
259,iQoniQ,1,10.84,185968,Med. Volatility,False,A passive investment strategy with a mix of Quant and Quality.,/smallcase/iqoniq-JNMMO_0002, Jainam
260,XC Quant: Valuation,1,10.57,78859,High Volatility,False,"Basket of stocks with Value Investing as a core investment philosophy, build w/ quantitative methods",/smallcase/xc-value-portfolio-XUMNM_0003, Xumit Capital
261,Pickright Hidden Gems,1,14.76,39222,Med. Volatility,False,"Exp CAGR 16%+, Suitable for 5 yr + Holding. Dynamic allocation ,12-15 Stcoks may include LIQUIDBEES",/smallcase/pr-hidden-gems-PKRMO_0001, Pickright
262,Zen Small & Mid Diversified,1,3.44,150000,High Volatility,False,Up to 50 Stocks Momentum Small & Mid Cap,/smallcase/sm50-(-small-and-mid-50-)-SWERMO_0010, Zen Capital Equity Research
263,MWG ESG (AUM),1,-1.87,500983,Med. Volatility,False,Best Large Cap ESG compliant stocks. Sustainability generates higher alpha with lower risk.,/smallcase/mwg-esg-MWGNM_0001, My Wealth Guide
264,MWG ESG,1,-1.47,83936,Med. Volatility,False,Best Large Cap ESG compliant stocks. Higher alpha with lower risk. (Rec Size 5-10L),/smallcase/mwg-esg-(fixed-fee)-MWGNM_0002, My Wealth Guide
265,Digit,1,-0.72,1000000,Low Volatility,False,Sentiment Investing | Quantamental Diversified-equity | Multi-cap Universe | Weekly Review,/smallcase/sapien-digit-MODMO_0002, Modulor Capital
266,Platinum Wealthemoji,1,16.25,37804,Med. Volatility,False,Platinum Wealthemoji -Long-term Portfolio for Wealth creation with Indian growing sectors,/smallcase/platinum-wealthemoji-WEEMNM_0001, Wealthemoji LLP
267,FinanceKings  |MIX LARGE-MID-SMALL CAP,1,2.31,29160,Med. Volatility,False,"FinanceKings, backbone of Indian Economy consist of mix of large, Medium and Small cap|",/smallcase/kings-of-financials-ormix-large-mid-small-cap-WEEMNM_0004, Wealthemoji LLP
268,Alpha 11,1,10.07,81670,Med. Volatility,False,Investing in leaders of Indian equity markets which provide sustainable growth to their business. ,/smallcase/alpha-11-JNMMO_0003, Jainam
269,SR 500,1,2.29,123482,High Volatility,False,LS 500 IS FOR A MULTI-CAP PORTFOLIO. ,/smallcase/ls-500-LOSEMO_0002, Lokesh Sethia
270,XC Pure Alpha Strategy,1,24.1,8831,High Volatility,False,Long-term portfolio build on pure fundamental analysis and that creates consistent alpha,/smallcase/xc-pure-alpha-strategy-XUMMO_0003, Xumit Capital
271,Shariah - Pharma ,1,-15.64,198696,Med. Volatility,False,10 Pharma liquid and investible good shariah-compliant stocks for observant Muslims. + 1 ETFs,/smallcase/shariah-pharma-SNGTR_0003, SenSage
272,Bluechip Fortius - Conservative,1,9.34,85902,Low Volatility,False,Quant Conservative BLUE-CHIP basket designed with less risk for out-performance. Rec Size: 3+ lac,/smallcase/bluechip-fortius-QUREMO_0002, Quantace Reseach
273,NIFTY Next 50 Citius-Junior Aggressive,1,0.24,53248,Low Volatility,False,Aggressive Concentrated HIGH-RISK basket to out-perform Nifty Next 50. Rec Size 2 to 15 lakhs,/smallcase/nifty-next-50-citius-QUREMO_0004, Quantace Reseach
274,NIFTY Next 50 Fortius-Junior-Conservative,1,-4.8,104976,Low Volatility,False,Conservative Next50 Basket designed with less risk for out-performance. Rec Size 3-20 lakhs,/smallcase/nifty-next-50-fortius-QUREMO_0005, Quantace Reseach
275,NIFTY Next 50 Altius-Junior-Balanced,1,-6.51,67372,Low Volatility,False,Next 50 Stocks picked by Quantace to MAXIMIZE Return per Risk. Rec Size : 5-25 lakhs,/smallcase/nifty-next-50-altius-QUREMO_0006, Quantace Reseach
276,Evergreen SAVE,1,8.51,25000,Low Volatility,False,"Create wealth using dynamic asset algorithm with equities, gold and debt - LOW VOLATILITY approach",/smallcase/galactic-evergreen-save-MODET_0001, Modulor Capital
277,Evergreen GROW,1,6.97,25000,Low Volatility,False,"Create wealth using dynamic asset algorithm with equities, gold and debt - BALANCED approach",/smallcase/galactic-evergreen-grow-MODET_0003, Modulor Capital
278,Eka Capital India Opportunities,1,13.41,142971,Med. Volatility,False,"Fundamentally, driven bottom up investment strategy. Flexible and opportunistic. ",/smallcase/eka-capital-india-opportunity-EKAMO_0001, Eka Capital
279,Top 10 Techno Funda ,1,28.27,17093,High Volatility,False,Top 10 Stocks based on a Mix of Technical Analysis and Fundamental Analysis. ,/smallcase/top-10-techno-funda-NOMMO_0001, Nooresh Merani
